"","iso2c","pais","ano","poblacion","esperanza_vida","fertilidad","ados_fertilidad","mortalidad","sida","forestal","movil","inversion","ayudas"
"1","SO","Somalia",2016,14.317996,56.293,6.267,102.189,131.5,0.1,62862.001953125,46.4662792195221,334,1183.64
"2","SO","Somalia",2015,13.908129,55.876,6.365,104.235,135.6,0.1,63630,41.9610718307258,303,1260.56
"3","SO","Somalia",2014,13.513125,55.467,6.464,106.281,139.8,0.2,64397.998046875,40.7011701586421,261,1109.2
"4","SO","Somalia",2013,13.132349,55.072,6.564,108.327,144.1,0.2,65166.0009765625,39.4674250585329,258,1054.58
"5","SO","Somalia",2012,12.763776,54.694,6.665,110.373,148.9,0.2,65933.9990234375,18.0197458808428,107.33,990.46
"6","SO","Somalia",2011,12.404725,54.332,6.766,113.7292,153.5,0.2,66702.001953125,14.5105997916117,102,1098.98
"7","SO","Somalia",2010,12.053223,53.986,6.866,117.0854,158.6,0.2,67470,5.37781471395659,112,505.68
"8","SO","Somalia",2009,11.70799,53.652,6.963,120.4416,163.1,0.3,68237.998046875,5.47489364100926,108,661.64
"9","SO","Somalia",2008,11.369276,53.323,7.056,123.7978,167,0.3,69006.0009765625,5.51486303965178,87,765.87
"10","SO","Somalia",2007,11.038596,52.996,7.144,127.154,170.5,0.3,69773.9990234375,5.43547385917557,141,393.74
"11","SO","Somalia",2006,10.718317,52.666,7.227,127.1818,172.6,0.4,70542.001953125,5.13140262599063,96,396.17
"12","SO","Somalia",2005,10.409925,52.344,7.305,127.2096,173.2,0.4,71310,4.80310857186771,24,240.22
"13","SO","Somalia",2004,10.116228,52.042,7.378,127.2374,173.3,0.4,72077.998046875,4.94255368700666,-4.79,201.28
"14","SO","Somalia",2003,9.836397,51.761,7.448,127.2652,173.3,0.4,72846.0009765625,2.03326482247514,-0.85,176.18
"15","SO","Somalia",2002,9.564167,51.49,7.513,127.293,173.3,0.4,73613.9990234375,1.04556936322839,0.14,152.72
"16","SO","Somalia",2001,9.290823,51.211,7.573,127.1488,173.3,0.4,74382.001953125,0.914881275856832,0.04,149.3
"17","SO","Somalia",2000,9.011479,50.867,7.623,127.0046,173.3,0.4,75150,0.887756604659457,0.27,102.23
"18","SO","Somalia",1999,8.720231,50.389,7.66,126.8604,173.3,0.3,75917.001953125,0,-0.81,115.7
"19","SO","Somalia",1998,8.422372,49.751,7.683,126.7162,173.3,0.3,76683.9990234375,0,0.04,81.32
"20","SO","Somalia",1997,8.137475,48.963,7.689,126.572,173.3,0.3,77451.0009765625,0,1.1,81.18
"21","SO","Somalia",1996,7.892389,48.065,7.679,121.6036,173.3,0.2,78217.998046875,0,1.3,88.18
"22","SO","Somalia",1995,7.704894,47.148,7.653,116.6352,173.3,0.2,78985,0,1,187.93
"23","SO","Somalia",1994,7.583954,46.335,7.614,111.6668,173.3,0.2,79752.001953125,0,1,535.12
