"","iso2c","país","ano","poblacion","esperanza_vida","fertilidad","ados_fertilidad","mortalidad","sida","forestal","movil","inversion","ayudas"
"1","ET","Ethiopia",2016,102403196,65.475,4.198,64.8554,61.2,1,125395.99609375,50.0218762703461,3988953391.67599,4073520000
"2","ET","Ethiopia",2015,99873033,65.037,4.317,67.2518,64.2,1,124990,42.3654191016708,2626520129.68937,3235490000
"3","ET","Ethiopia",2014,97366774,64.535,4.437,69.6482,67.5,1.1,124584.00390625,31.3145837613969,1855050375.57801,3583960000
"4","ET","Ethiopia",2013,94887724,63.952,4.556,72.0446,71.2,1.1,124177.998046875,27.0286438738904,1343876023.73137,3885540000
"5","ET","Ethiopia",2012,92444183,63.275,4.677,74.441,75.1,1.2,123772.001953125,22.2013850238689,278562822.162861,3243290000
"6","ET","Ethiopia",2011,90046756,62.501,4.798,76.267,79.2,1.3,123365.99609375,15.6881376159736,626509560.351343,3495890000
"7","ET","Ethiopia",2010,87702670,61.625,4.924,78.093,83.7,1.4,122960,7.81504143488448,288271568.250744,3455160000
"8","ET","Ethiopia",2009,85416253,60.643,5.057,79.919,88.4,1.5,124367.998046875,4.74348014305896,221459581.4,3823760000
"9","ET","Ethiopia",2008,83184892,59.58,5.201,81.745,93.5,1.6,125775.99609375,2.34961776472583,108537544,3316250000
"10","ET","Ethiopia",2007,81000409,58.466,5.355,83.571,99,1.8,127184.00390625,1.49196530600234,222000573,2606550000
"11","ET","Ethiopia",2006,78850689,57.333,5.519,87.8984,104.9,2,128592.001953125,1.09916604533411,545257102.2,2034550000
"12","ET","Ethiopia",2005,76727083,56.221,5.69,92.2258,111,2.2,130000,0.535182602993,265111675.482385,1929120000
"13","ET","Ethiopia",2004,74624405,55.172,5.867,96.5532,117.5,2.4,131410,0.208422432312861,545100000,1830300000
"14","ET","Ethiopia",2003,72545144,54.209,6.044,100.8806,124,2.7,132820,0.0707476712707332,4.65e+08,1621160000
"15","ET","Ethiopia",2002,70497192,53.347,6.216,105.208,130.4,2.9,134230,0.0714482358389537,2.55e+08,1324740000
"16","ET","Ethiopia",2001,68492257,52.593,6.38,107.6736,136.6,3.2,135640,0.0401505238760054,349400000,1103600000
"17","ET","Ethiopia",2000,66537331,51.94,6.529,110.1392,142.6,3.4,137050,0.026687274246092,134640000,687800000
"18","ET","Ethiopia",1999,64640054,51.366,6.659,112.6048,148.4,3.5,138459.00390625,0.0104269714873691,69980000,643290000
"19","ET","Ethiopia",1998,62794151,50.836,6.769,115.0704,154.3,3.6,139867.998046875,0,260670000,660240000
"20","ET","Ethiopia",1997,60976450,50.322,6.861,117.536,160.3,3.6,141277.001953125,0,288490000,578910000
"21","ET","Ethiopia",1996,59155148,49.811,6.935,117.5636,166.6,3.6,142685.99609375,0,21930000,816500000
"22","ET","Ethiopia",1995,57309880,49.305,6.995,117.5912,173.2,3.4,144095,0,14140000,876980000
"23","ET","Ethiopia",1994,55431123,48.812,7.046,117.6188,179.9,3.2,145504.00390625,0,17210000,1063580000
"24","ET","Ethiopia",1993,53532956,48.346,7.094,117.6464,186.3,2.9,146912.998046875,0,3500000,1081220000
"25","ET","Ethiopia",1992,51647768,47.912,7.143,117.674,192.1,2.6,164442,0,170000,1162510000
"26","ET","Ethiopia",1991,49821083,47.505,7.193,118.0092,197.4,2.2,165896,0,NA,1091870000
"27","ET","Ethiopia",1990,48086516,47.1,7.246,118.3444,202,1.8,167350,0,NA,1009250000
