"","iso2c","país","ano","poblacion","esperanza_vida","fertilidad","ados_fertilidad","mortalidad","sida","forestal","movil","inversion","ayudas"
"1","KE","Kenya",2016,48461567,67.032,3.852,81.7916,47.1,5,44496.0009765625,80.4393881856936,393359420.852844,2187740000
"2","KE","Kenya",2015,47236259,66.695,3.917,83.0942,48.7,5.1,44130,79.8453239067895,619724470.476665,2464180000
"3","KE","Kenya",2014,46024250,66.242,3.989,84.3968,50.5,5.2,43763.9990234375,73.0758915137129,820937598.36054,2661030000
"4","KE","Kenya",2013,44826849,65.651,4.072,85.6994,52.3,5.4,43397.998046875,71.0065590378659,1118825000.19331,3306840000
"5","KE","Kenya",2012,43646629,64.907,4.165,87.002,54.4,5.5,43032.001953125,70.4103723565914,1380173661.94265,2653660000
"6","KE","Kenya",2011,42486839,64.008,4.267,89.02,56.3,5.5,42666.0009765625,66.0928693706773,1450474757.0818,2478820000
"7","KE","Kenya",2010,41350152,62.936,4.373,91.038,58.4,5.6,42300,60.3840367987039,178064606.752108,1631260000
"8","KE","Kenya",2009,40237204,61.68,4.48,93.056,61.1,6,41933.9990234375,48.1260054749331,116257608.986359,1782480000
"9","KE","Kenya",2008,39148416,60.275,4.582,95.074,65.4,6.1,41567.998046875,41.6455495926068,95585680.233444,1363400000
"10","KE","Kenya",2007,38085909,58.784,4.677,97.092,69.9,6.3,41202.001953125,29.7995040633007,729044146.04372,1329360000
"11","KE","Kenya",2006,37052050,57.271,4.763,98.5136,74.3,6.5,40836.0009765625,19.8108255818504,50674725.1830696,941650000
"12","KE","Kenya",2005,36048288,55.819,4.84,99.9352,79.2,6.8,40470,12.7938669375922,21211685.395223,756570000
"13","KE","Kenya",2004,35074931,54.513,4.91,101.3568,84.7,7.3,39490,7.25919318273214,46063931.4543862,655930000
"14","KE","Kenya",2003,34130852,53.413,4.977,102.7784,89.9,7.7,38510,4.6608417510351,81738242.6366212,522900000
"15","KE","Kenya",2002,33214009,52.565,5.044,104.2,95.1,8.3,37530,3.57416052967289,27618447.058206,388220000
"16","KE","Kenya",2001,32321482,52.004,5.111,105.6588,100,8.8,36550,1.85635052254101,5302622.93940566,472410000
"17","KE","Kenya",2000,31450483,51.751,5.178,107.1176,104.5,9.3,35570,0.40509393766703,110904550.399762,513920000
"18","KE","Kenya",1999,30600397,51.805,5.239,108.5764,108.2,9.7,36736.9995117188,0.077636247660447,51953455.9539555,311250000
"19","KE","Kenya",1998,29769803,52.106,5.296,110.0352,111.1,10,37903.9990234375,0.0361305716399937,26548245.9700464,415260000
"20","KE","Kenya",1997,28954114,52.589,5.348,111.494,113.1,10.2,39071.0009765625,0.0233714628601656,62096809.7799306,448650000
"21","KE","Kenya",1996,28147734,53.205,5.4,112.2472,114,10.1,40238.0004882813,0.010039884560512,108672931.624341,596260000
"22","KE","Kenya",1995,27346456,53.911,5.459,113.0004,113.9,9.8,41405,0.00833380383915196,42289248.4582554,733090000
"23","KE","Kenya",1994,26548486,54.669,5.535,113.7536,113.1,9.3,42572.001953125,0.00749571934158505,7432412.60236849,677870000
"24","KE","Kenya",1993,25754114,55.449,5.633,114.5068,111.4,8.5,43738.9990234375,0.00451190050645889,145655517.114549,915630000
"25","KE","Kenya",1992,24963953,56.212,5.755,115.26,109.2,7.6,44906.0009765625,0.00440635343288781,6363133.14468109,884920000
"26","KE","Kenya",1991,24179598,56.918,5.901,121.7598,106.5,6.6,46072.998046875,0,18830976.8357173,916460000
"27","KE","Kenya",1990,23402507,57.536,6.066,128.2596,103.7,5.5,47240,0,57081096.1781559,1181290000
