"","iso2c","país","ano","poblacion","esperanza_vida","fertilidad","ados_fertilidad","mortalidad","sida","forestal","movil","inversion","ayudas"
"1","SO","Somalia",2016,14317996,56.293,6.267,102.189,131.5,0.1,62862.001953125,46.4662792195221,3.34e+08,1183640000
"2","SO","Somalia",2015,13908129,55.876,6.365,104.235,135.6,0.1,63630,41.9610718307258,3.03e+08,1260560000
"3","SO","Somalia",2014,13513125,55.467,6.464,106.281,139.8,0.2,64397.998046875,40.7011701586421,2.61e+08,1109200000
"4","SO","Somalia",2013,13132349,55.072,6.564,108.327,144.1,0.2,65166.0009765625,39.4674250585329,2.58e+08,1054580000
"5","SO","Somalia",2012,12763776,54.694,6.665,110.373,148.9,0.2,65933.9990234375,18.0197458808428,107330000,990460000
"6","SO","Somalia",2011,12404725,54.332,6.766,113.7292,153.5,0.2,66702.001953125,14.5105997916117,1.02e+08,1098980000
"7","SO","Somalia",2010,12053223,53.986,6.866,117.0854,158.6,0.2,67470,5.37781471395659,1.12e+08,505680000
"8","SO","Somalia",2009,11707990,53.652,6.963,120.4416,163.1,0.3,68237.998046875,5.47489364100926,1.08e+08,661640000
"9","SO","Somalia",2008,11369276,53.323,7.056,123.7978,167,0.3,69006.0009765625,5.51486303965178,8.7e+07,765870000
"10","SO","Somalia",2007,11038596,52.996,7.144,127.154,170.5,0.3,69773.9990234375,5.43547385917557,1.41e+08,393740000
"11","SO","Somalia",2006,10718317,52.666,7.227,127.1818,172.6,0.4,70542.001953125,5.13140262599063,9.6e+07,396170000
"12","SO","Somalia",2005,10409925,52.344,7.305,127.2096,173.2,0.4,71310,4.80310857186771,2.4e+07,240220000
"13","SO","Somalia",2004,10116228,52.042,7.378,127.2374,173.3,0.4,72077.998046875,4.94255368700666,-4790000,201280000
"14","SO","Somalia",2003,9836397,51.761,7.448,127.2652,173.3,0.4,72846.0009765625,2.03326482247514,-850000,176180000
"15","SO","Somalia",2002,9564167,51.49,7.513,127.293,173.3,0.4,73613.9990234375,1.04556936322839,140000,152720000
"16","SO","Somalia",2001,9290823,51.211,7.573,127.1488,173.3,0.4,74382.001953125,0.914881275856832,40000,149300000
"17","SO","Somalia",2000,9011479,50.867,7.623,127.0046,173.3,0.4,75150,0.887756604659457,270000,102230000
"18","SO","Somalia",1999,8720231,50.389,7.66,126.8604,173.3,0.3,75917.001953125,0,-810000,115700000
"19","SO","Somalia",1998,8422372,49.751,7.683,126.7162,173.3,0.3,76683.9990234375,0,40000,81320000
"20","SO","Somalia",1997,8137475,48.963,7.689,126.572,173.3,0.3,77451.0009765625,0,1100000,81180000
"21","SO","Somalia",1996,7892389,48.065,7.679,121.6036,173.3,0.2,78217.998046875,0,1300000,88180000
"22","SO","Somalia",1995,7704894,47.148,7.653,116.6352,173.3,0.2,78985,0,1e+06,187930000
"23","SO","Somalia",1994,7583954,46.335,7.614,111.6668,173.3,0.2,79752.001953125,0,1e+06,535120000
"24","SO","Somalia",1993,7519811,45.72,7.566,106.6984,173.4,0.1,80518.9990234375,0,2e+06,892120000
"25","SO","Somalia",1992,7488544,45.359,7.511,101.73,174.3,0.1,81286.0009765625,0,-60000,653660000
"26","SO","Somalia",1991,7455936,45.258,7.454,96.7332,176.8,0.1,82052.998046875,0,-150000,186420000
"27","SO","Somalia",1990,7397347,45.375,7.397,91.7364,179.9,0.1,82820,0,5590000,514810000
